년도,지방청,경찰서,주소,경찰관
2019년,충남,예산,충청남도 예산군 예산읍 사직로 5,186
2019년,충남,부여,충청남도 부여군 부여읍 성말로 4,196
2019년,충남,서천,충청남도 서천군 장항읍 신창동로 15,170
2019년,충남,금산,충청남도 금산군 금산읍 인삼로 201,147
2019년,충남,청양,충청남도 청양군 청양읍 충절로 1317,133
2019년,충남,태안,충청남도 태안군 동백로 112,172
2019년,전북,전주완산,전라북도 전주시 완산구 전라감영로 66 (전동),572
2019년,전북,전주덕진,전라북도 전주시 덕진구 온고을로 299 (팔복동3가),524
2019년,전북,군산,전라북도 군산시 구암3.1로 82 (경암동),545
2019년,전북,익산,전라북도 익산시 배산로 165-12 (모현동2가),519
2019년,전북,정읍,전라북도 정읍시 중앙1길 157 (장명동),318
2019년,전북,남원,전라북도 남원시 교룡로 185 (향교동),268
2019년,전북,김제,전라북도 김제시 중앙로 213 (신풍동),248
2019년,전북,완주,전라북도 완주군 봉동읍 봉동로 28,219
2019년,전북,고창,전라북도 고창군 고창읍 보릿골로 175,175
2019년,전북,부안,전라북도 부안군 행안면 염소로 33,180
2019년,전북,임실,전라북도 임실군 임실읍 호국로 1702,126
2019년,전북,순창,전라북도 순창군 구림면 구림로 3-2(임시청사),122
2019년,전북,진안,전라북도 진안군 진안읍 우화산길 3,131
2019년,전북,장수,전라북도 장수군 장수읍 신천로 8,106
2019년,전북,무주,전라북도 무주군 무주읍 한풍루로 408,113
2019년,전남,목포,전라남도 목포시 동명로 124,641
2019년,전남,여수,전라남도 여수시 하멜로 2 (고소동),525
2019년,전남,순천,전라남도 순천시 조비길 2 (가곡동),494
2019년,전남,나주,전라남도 나주시 영산로 5415-22 (성북동),263
2019년,전남,광양,전라남도 광양시 광양읍 제철로 16-16,273
2019년,전남,고흥,전라남도 고흥군 고흥읍 흥양길 42,210
2019년,전남,해남,전라남도 해남군 해남읍 영빈로 61,211
2019년,전남,무안,전라남도 무안군 무안읍 무안로 479,195
2019년,전남,장흥,전라남도 장흥군 장흥읍 읍성로 123,144
2019년,전남,보성,전라남도 보성군 보성읍 중앙로 88,153
2019년,전남,영광,전라남도 영광군 영광읍 중앙로 211,158
2019년,전남,화순,전라남도 화순군 화순읍 자치샘로 29,166
2019년,전남,함평,전라남도 함평군 함평읍 중앙길 220,129
2019년,전남,영암,전라남도 영암군 영암읍 남문로 19,172
2019년,전남,장성,전라남도 장성군 장성읍 영천로 164,142
2019년,전남,강진,전라남도 강진군 강진읍 탐진로 119,137
2019년,전남,담양,전라남도 담양군 담양읍 무정로 15,139
2019년,전남,곡성,전라남도 곡성군 곡성읍 중앙로 161,122
2019년,전남,완도,전라남도 완도군 완도읍 농공단지길 32,161
2019년,전남,진도,전라남도 진도군 진도읍 남산2길 33,131
2019년,전남,구례,전라남도 구례군 구례읍 봉성로 74,119
2019년,경북,경주,경상북도 경주시 중앙로 63 (동부동),496
2019년,경북,포항북부,경상북도 포항시 북구 중앙로 331 (덕산동),444
2019년,경북,포항남부,경상북도 포항시 남구 연일로 55 (상도동),434
2019년,경북,구미,경상북도 구미시 송원동로 11-4 (송정동),658
2019년,경북,경산,경상북도 경산시 원효로 68 (계양동),415
2019년,경북,안동,경상북도 안동시 제비원로 103 (당북동),365
2019년,경북,김천,경상북도 김천시 김천로 164 (남산동),287
2019년,경북,영주,경상북도 영주시 광복로 47 (영주동),227
2019년,경북,영천,경상북도 영천시 금호읍 최무선로 1,233
2019년,경북,상주,경상북도 상주시 중앙로 230 (성하동),242
2019년,경북,문경,경상북도 문경시 매봉로 35 (모전동),193
2019년,경북,칠곡,경상북도 칠곡군 약목면 칠곡대로 1050,238
2019년,경북,의성,경상북도 의성군 의성읍 동서1길 31,177
2019년,경북,청도,경상북도 청도군 청도읍 새마을로 1362,124
2019년,경북,영덕,경상북도 영덕군 영덕읍 남산1길 14,126
2019년,경북,울진,경상북도 울진군 울진읍 울진중앙로 28,146
2019년,경북,봉화,경상북도 봉화군 봉화읍 내성로 73,115
2019년,경북,예천,경상북도 예천군 예천읍 군청길 21,134
2019년,경북,성주,경상북도 성주군 성주읍 성주순환로 251,135
2019년,경북,청송,경상북도 청송군 청송읍 월막1길 5-15,106
2019년,경북,영양,경상북도 영양군 영양읍 영양창수로 135,86
2019년,경북,군위,경상북도 군위군 군위읍 중앙길 74,101
2019년,경북,고령,경상북도 고령군 대가야읍 대가야로 1411,110
2019년,경북,울릉,경상북도 울릉군 울릉읍 도동2길 62,59
2019년,경남,창원중부,경상남도 창원시 의창구 상남로 177 (신월동),439
2019년,경남,창원서부,경상남도 창원시 의창구 우곡로 10 (도계동),320
2019년,경남,마산중부,경상남도 창원시 마산합포구 3·15대로 147 (중앙동2가),288
2019년,경남,마산동부,경상남도 창원시 마산회원구 합성남17길 56 (합성동),367
2019년,경남,진주,경상남도 진주시 비봉로24번길 3 (중안동),521
2019년,경남,김해중부,경상남도 김해시 김해대로 2307 (봉황동),480
2019년,경남,김해서부,경상남도 김해시 계동로 175 (대청동),309
2019년,경남,양산,경상남도 양산시 물금읍 신주4길 8,423
2019년,경남,거제,경상남도 거제시 진목1길 2 (옥포동),382
2019년,경남,진해,경상남도 창원시 진해구 진해대로 815 (석동),271
2019년,경남,통영,경상남도 통영시 광도면 죽림3로 53,252
2019년,경남,사천,경상남도 사천시 남일로 37 (동금동),232
2019년,경남,밀양,경상남도 밀양시 상남면 밀양대로 1545,226
2019년,경남,거창,경상남도 거창군 거창읍 중앙로 97,172
2019년,경남,합천,경상남도 합천군 합천읍 황강체육공원로 67,164
2019년,경남,창녕,경상남도 창녕군 창녕읍 종로 38-6,162
2019년,경남,고성,강원도 고성군 간성읍 탑동길 12,161
2019년,경남,하동,경상남도 하동군 하동읍 경서대로 139,153
2019년,경남,남해,경상남도 남해군 남해읍 화전로 89,142
2019년,경남,함양,경상남도 함양군 함양읍 학사루길 12,135
2019년,경남,산청,경상남도 산청군 산청읍 중앙로 1,132
2019년,경남,함안,경상남도 함안군 가야읍 가야로 85,161
2019년,경남,의령,경상남도 의령군 의령읍 충익로 53,141
2019년,제주,제주동부,제주특별자치도 제주시 동광로 66 (이도이동),478
2019년,제주,제주서부,제주특별자치도 제주시 애월읍 애조로 215,394
2019년,제주,서귀포,제주특별자치도 서귀포시 신중로 27 (법환동),377
2020년,서울,서울중부,서울특별시 중구 수표로 27 (저동2가),505
2020년,서울,서울종로,서울특별시 종로구 율곡로 46 (경운동),649
2020년,서울,서울남대문,서울특별시 중구 한강대로 410 (남대문로5가),489
2020년,서울,서울서대문,서울특별시 서대문구 통일로 113 (미근동),670
2020년,서울,서울혜화,서울특별시 종로구 창경궁로 112-16 (인의동),462
2020년,서울,서울용산,서울특별시 용산구 원효로89길 24 (원효로1가),690
2020년,서울,서울성북,서울특별시 성북구 보문로 170 (삼선동5가),521
2020년,서울,서울동대문,서울특별시 동대문구 약령시로21길 29 (청량리동),812
2020년,서울,서울마포,서울특별시 마포구 마포대로 183 (아현동),875
2020년,서울,서울영등포,서울특별시 영등포구 국회대로 608 (당산동3가),995
2020년,서울,서울성동,서울특별시 성동구 왕십리광장로 9 (행당동),623
2020년,서울,서울동작,서울특별시 동작구 노량진로 148 (노량진동),658
2020년,서울,서울광진,서울특별시 광진구 자양로 167 (구의동),717
2020년,서울,서울서부,서울특별시 은평구 진흥로58 (녹번동),409
2020년,서울,서울강북,서울특별시 강북구 오패산로 406 (번동),660
2020년,서울,서울금천,서울특별시 금천구 시흥대로73길 50(시흥동),558
2020년,서울,서울중랑,서울특별시 중랑구 신내역로3길 40-10 (신내동),749
2020년,서울,서울강남,서울특별시 강남구 테헤란로114길 11 (삼성동),860
2020년,서울,서울관악,서울특별시 관악구 관악로5길 33 (봉천동),904
2020년,서울,서울강서,서울특별시 강서구 화곡로 73 (신월동),924
2020년,서울,서울강동,서울특별시 강동구 성내로 57 (성내동),742
2020년,서울,서울종암,서울특별시 성북구 종암로 135 (종암동),403
2020년,서울,서울구로,서울특별시 구로구 가마산로 235 (구로동),727
2020년,서울,서울서초,서울특별시 서초구 반포대로 179 (서초동),720
2020년,서울,서울양천,서울특별시 양천구 목동동로 99 (신정동),750
2020년,서울,서울송파,서울특별시 송파구 중대로 221 (가락동),1040
2020년,서울,서울노원,서울특별시 노원구 노원로 283 (하계동),796
2020년,서울,서울방배,서울특별시 서초구 동작대로 204(방배동),354
2020년,서울,서울은평,서울특별시 은평구 연서로 365 (불광동),481
2020년,서울,서울도봉,서울특별시 도봉구 노해로 403 (창동),557
2020년,서울,서울수서,서울특별시 강남구 개포로 617 (개포동),631
2020년,부산,부산중부,부산광역시 중구 중앙대로 105 (대창동1가),317
2020년,부산,부산동래,부산광역시 동래구 명륜로 70 (수안동),531
2020년,부산,부산영도,부산광역시 영도구 태종로 46 (대교동1가),361
2020년,부산,부산동부,부산광역시 동구 중앙대로 387 (수정동),402
2020년,부산,부산진,부산광역시 부산진구 부전로111번길 6 (부전동),851
2020년,부산,부산서부,부산광역시 서구 대영로 16 (서대신동2가),347
2020년,부산,부산남부,부산광역시 남구 황령대로319번가길 81 (대연동),722
2020년,부산,부산해운대,부산광역시 해운대구 해운대로 129 (재송동),717
2020년,부산,부산사상,부산광역시 사상구 학감대로 264 (감전동),514
2020년,부산,부산금정,부산광역시 금정구 중앙대로 1819 (구서동),507
2020년,부산,부산사하,부산광역시 사하구 을숙도대로 665 (신평동),580
2020년,부산,부산연제,부산광역시 연제구 토곡로 26 (연산동),555
2020년,부산,부산강서,부산광역시 강서구 명지국제1로 305 (명지동),330
2020년,부산,부산북부,부산광역시 북구 화명신도시로 63 (화명동),477
2020년,부산,부산기장,부산광역시 기장군 일광면 기장대로 692,327
2020년,대구,대구중부,대구광역시 중구 경상감영길 55 (서문로1가),410
2020년,대구,대구동부,대구광역시 동구 반야월북로 209 (각산동),637
2020년,대구,대구서부,대구광역시 서구 국채보상로 249 (평리동),458
2020년,대구,대구남부,대구광역시 남구 대명로 249 (대명동),395
2020년,대구,대구북부,대구광역시 북구 원대로 100 (침산동),418
2020년,대구,대구수성,대구광역시 수성구 달구벌대로 2460 (범어동),652
2020년,대구,대구달서,대구광역시 달서구 학산로 55 (월성동),437
2020년,대구,대구성서,대구광역시 달서구 달구벌대로259길 15 (이곡동),550
2020년,대구,대구달성,대구광역시 달성군 현풍면 현풍중앙로 16,380
2020년,대구,대구강북,대구광역시 북구 동암로 130 (구암동),361
2020년,인천,인천중부,인천광역시 중구 제물량로 237 (항동2가),562
2020년,인천,인천미추홀,인천광역시 미추홀구 매소홀로290번길 32 (학익동),745
2020년,인천,인천남동,인천광역시 남동구 남동대로 668 (구월동),586
2020년,인천,인천논현,인천광역시 남동구 논현고잔로 239 (논현동),397
2020년,인천,인천부평,인천광역시 부평구 길주로 511 (청천동),480
2020년,인천,인천삼산,인천광역시 부평구 굴포로 104 (삼산동),469
2020년,인천,인천서부,인천광역시 서구 탁옥로 77 (심곡동),735
2020년,인천,인천계양,인천광역시 계양구 계산새로 68 (계산동),478
2020년,인천,인천연수,인천광역시 연수구 원인재로 138 (연수동),459
2020년,인천,인천강화,인천광역시 강화군 강화읍 동문안길 17,214
2020년,광주,광주광산,광주광역시 광산구 어등대로 551 (운수동),589
2020년,광주,광주동부,광주광역시 동구 예술길 33 (대의동),369
2020년,광주,광주서부,광주광역시 서구 상무공원로 71 (치평동),558
2020년,광주,광주남부,광주광역시 남구 용대로74번안길 9-5 (봉선동),366
2020년,광주,광주북부,광주광역시 북구 서하로 172 (오치동),732
2020년,대전,대전중부,대전광역시 중구 중앙로 112 (대흥동),460
2020년,대전,대전동부,대전광역시 대덕구 계족로 670 (법동),462
2020년,대전,대전서부,대전광역시 서구 복수서로 47 (복수동),389
2020년,대전,대전대덕,대전광역시 대덕구 대덕대로1417번길 11 (문평동),334
2020년,대전,대전둔산,대전광역시 서구 한밭대로 733 (둔산동),433
2020년,대전,대전유성,대전광역시 유성구 북유성대로 112 (죽동),465
2020년,울산,울산중부,울산광역시 중구 번영로 620 (남외동),395
2020년,울산,울산남부,울산광역시 남구 삼산로35번길 25 (신정동),647
2020년,울산,울산동부,울산광역시 동구 진성4길 11 (전하동),325
2020년,울산,울산북부,울산광역시 북구 화동로 67 (화봉동),317
2020년,울산,울산울주,울산광역시 울주군 범서읍 점촌6길 6,386
2020년,세종,세종,세종특별자치시 조치원읍 군청로 36,335
2020년,경기남부,수원중부,경기도 수원시 장안구 정자천로 199 (정자동),636
2020년,경기남부,수원남부,경기도 수원시 영통구 매봉로 52 (매탄동),769
2020년,경기남부,수원서부,경기도 수원시 권선구 서부로 1673 (탑동),516
2020년,경기남부,안양동안,경기도 안양시 동안구 동안로159번길 43 (비산동),477
2020년,경기남부,안양만안,경기도 안양시 만안구 냉천로 63 (안양동),448
2020년,경기남부,군포,경기도 군포시 산본로324번길 16 (금정동),406
2020년,경기남부,성남수정,경기도 성남시 수정구 성남대로 1259 (태평동),536
2020년,경기남부,성남중원,경기도 성남시 중원구 금빛로2번길 10 (상대원동),496
2020년,경기남부,분당,경기도 성남시 분당구 정자일로 165 (정자동),617
2020년,경기남부,부천소사,경기도 부천시 소사구 경인로160번길 70 (송내동),367
2020년,경기남부,부천원미,경기도 부천시 원미구 조마루로311번길 84 (중동),822
2020년,경기남부,부천오정,경기도 부천시 오정구 소사로 631 (여월동),345
2020년,경기남부,광명,경기도 광명시 디지털로 5 (철산동),493
2020년,경기남부,안산단원,경기도 안산시 단원구 화랑로 373 (고잔동),746
2020년,경기남부,안산상록,경기도 안산시 상록구 차돌배기로 10 (사동),590
2020년,경기남부,시흥,경기도 시흥시 황고개로 513 (장곡동),763
2020년,경기남부,평택,경기도 평택시 중앙로 67 (비전동),849
2020년,경기남부,오산,경기도 오산시 동부대로 596 (부산동),352
2020년,경기남부,화성서부,경기도 화성시 남양읍 남양로 570,461
2020년,경기남부,화성동탄,경기도 화성시 동탄대로 13길 70,439
2020년,경기남부,용인동부,경기도 용인시 처인구 금학로 143 (삼가동),704
2020년,경기남부,용인서부,경기도 용인시 기흥구 용구대로2469번길 32 (보정동),390
2020년,경기남부,광주,경기도 광주시 포돌이로 135 (탄벌동),457
2020년,경기남부,김포,경기도 김포시 태장로795번길 65 (장기동),523
2020년,경기남부,과천,경기도 과천시 통영로 20 (중앙동),189
2020년,경기남부,의왕,경기도 의왕시 오봉로 10 (고천동),235
2020년,경기남부,하남,경기도 하남시 검단로 27 (하산곡동),296
2020년,경기남부,이천,경기도 이천시 부악로 32 (중리동),391
2020년,경기남부,안성,경기도 안성시 알미산로 140 (도기동),344
2020년,경기남부,여주,경기도 여주시 세종로 50 (창동),283
2020년,경기남부,양평,경기도 양평군 옥천면 고읍로 88 (옥천리),275
2020년,경기북부,의정부,경기도 의정부시 호국로 1265 (의정부동),767
2020년,경기북부,고양,경기도 고양시 덕양구 화중로 12 (화정동),569
2020년,경기북부,일산동부,경기도 고양시 일산동구 중앙로 1338 (정발산동),476
2020년,경기북부,일산서부,경기도 고양시 일산서구 중앙로 1640 (대화동),372
2020년,경기북부,남양주남부,경기도 남양주시 경춘로 532 (지금동),763
2020년,경기북부,남양주북부,경기도 남양주시 진건오남로 1019,91
2020년,경기북부,파주,경기도 파주시 쇠재로 140 (금릉동),598
2020년,경기북부,양주,경기도 양주시 평화로 1699 (회정동),345
2020년,경기북부,동두천,경기도 동두천시 상패로 89 (상패동),231
2020년,경기북부,구리,경기도 구리시 아차산로 359 (교문동),377
2020년,경기북부,포천,경기도 포천시 군내면 호국로 1570,377
2020년,경기북부,가평,경기도 가평군 가평읍 가화로 61,205
2020년,경기북부,연천,경기도 연천군 연천읍 연천로 239,172
2020년,강원,춘천,강원도 춘천시 춘천로 61 (효자동),484
2020년,강원,강릉,강원도 강릉시 강릉대로 377 (포남동),412
2020년,강원,원주,강원도 원주시 봉산로 1 (봉산동),572
2020년,강원,동해,강원도 동해시 천곡로 107 (천곡동),230
2020년,강원,태백,강원도 태백시 장성로 26 (장성동),154
2020년,강원,속초,강원도 속초시 도리원길 93 (노학동),296
2020년,강원,삼척,강원도 삼척시 정상로 53 (정상동),220
2020년,강원,영월,강원도 영월군 영월읍 단종로 9,144
2020년,강원,정선,강원도 정선군 정선읍 비봉로 31,161
2020년,강원,홍천,강원도 홍천군 홍천읍 홍천로 651,195
2020년,강원,평창,강원도 평창군 평창읍 군청길 55,139
2020년,강원,횡성,강원도 횡성군 횡성읍 어사매로 78,135
2020년,강원,고성,강원도 고성군 간성읍 탑동길 12,117
2020년,강원,인제,강원도 인제군 인제읍 인제로209번길 9,123
2020년,강원,철원,강원도 철원군 갈말읍 삼부연로 35,128
2020년,강원,화천,강원도 화천군 화천읍 화천새싹길 33,105
2020년,강원,양구,강원도 양구군 양구읍 양남로 1,105
2020년,충북,청주흥덕,충청북도 청주시 흥덕구 월명로236번길 15 (봉명동),513
2020년,충북,청주상당,충청북도 청주시 상당구 목련로 266 (운동동),371
2020년,충북,청주청원,충청북도 청주시 청원구 향군로 60 (우암동),390
2020년,충북,충주,충청북도 충주시 예성로 218 (교현동),360
2020년,충북,제천,충청북도 제천시 용두대로 27 (하소동),259
2020년,충북,음성,충청북도 음성군 음성읍 중앙로 26,222
2020년,충북,영동,충청북도 영동군 영동읍 영산로 32,142
2020년,충북,괴산,충청북도 괴산군 괴산읍 읍내로11길 26,170
2020년,충북,단양,충청북도 단양군 단양읍 중앙1로 3,115
2020년,충북,보은,충청북도 보은군 보은읍 장신로 8,128
2020년,충북,옥천,충청북도 옥천군 옥천읍 중앙로 20,138
2020년,충북,진천,충청북도 진천군 진천읍 중앙동로 68,167
2020년,충남,천안서북,충청남도 천안시 서북구 번영로 705 (업성동),477
2020년,충남,천안동남,충청남도 천안시 동남구 청수6로 73 (청당동),428
2020년,충남,서산,충청남도 서산시 안견로 327 (읍내동),281
2020년,충남,아산,충청남도 아산시 남부로 370-15 (풍기동),431
2020년,충남,논산,충청남도 논산시 강경읍 계백로 159,268
2020년,충남,공주,충청남도 공주시 백제문화로 2148-15 (웅진동),249
2020년,충남,보령,충청남도 보령시 대천로 33 (대천동),257
2020년,충남,당진,충청남도 당진시 무수동7길 144 (읍내동),273
2020년,충남,홍성,충청남도 홍성군 홍성읍 충서로 1254,216
2020년,충남,예산,충청남도 예산군 예산읍 사직로 5,185
2020년,충남,부여,충청남도 부여군 부여읍 성말로 4,195
2020년,충남,서천,충청남도 서천군 장항읍 신창동로 15,170
2020년,충남,금산,충청남도 금산군 금산읍 인삼로 201,147
2020년,충남,청양,충청남도 청양군 청양읍 충절로 1317,133
2020년,충남,태안,충청남도 태안군 동백로 112,172
2020년,전북,전주완산,전라북도 전주시 완산구 전라감영로 66 (전동),575
2020년,전북,전주덕진,전라북도 전주시 덕진구 온고을로 299 (팔복동3가),517
2020년,전북,군산,전라북도 군산시 구암3.1로 82 (경암동),544
2020년,전북,익산,전라북도 익산시 배산로 165-12 (모현동2가),523
2020년,전북,정읍,전라북도 정읍시 중앙1길 157 (장명동),323
2020년,전북,남원,전라북도 남원시 교룡로 185 (향교동),262
2020년,전북,김제,전라북도 김제시 중앙로 213 (신풍동),249
2020년,전북,완주,전라북도 완주군 봉동읍 봉동로 28,227
2020년,전북,고창,전라북도 고창군 고창읍 보릿골로 175,175
2020년,전북,부안,전라북도 부안군 행안면 염소로 33,181
2020년,전북,임실,전라북도 임실군 임실읍 호국로 1702,126
2020년,전북,순창,전라북도 순창군 구림면 구림로 3-2(임시청사),121
2020년,전북,진안,전라북도 진안군 진안읍 우화산길 3,130
2020년,전북,장수,전라북도 장수군 장수읍 신천로 8,106
2020년,전북,무주,전라북도 무주군 무주읍 한풍루로 408,113
2020년,전남,목포,전라남도 목포시 동명로 124,646
2020년,전남,여수,전라남도 여수시 하멜로 2 (고소동),526
2020년,전남,순천,전라남도 순천시 조비길 2 (가곡동),497
2020년,전남,나주,전라남도 나주시 영산로 5415-22 (성북동),268
2020년,전남,광양,전라남도 광양시 광양읍 제철로 16-16,274
2020년,전남,고흥,전라남도 고흥군 고흥읍 흥양길 42,213
2020년,전남,해남,전라남도 해남군 해남읍 영빈로 61,215
2020년,전남,무안,전라남도 무안군 무안읍 무안로 479,204
2020년,전남,장흥,전라남도 장흥군 장흥읍 읍성로 123,143
2020년,전남,보성,전라남도 보성군 보성읍 중앙로 88,152
2020년,전남,영광,전라남도 영광군 영광읍 중앙로 211,157
2020년,전남,화순,전라남도 화순군 화순읍 자치샘로 29,164
2020년,전남,함평,전라남도 함평군 함평읍 중앙길 220,129
2020년,전남,영암,전라남도 영암군 영암읍 남문로 19,172
2020년,전남,장성,전라남도 장성군 장성읍 영천로 164,142
2020년,전남,강진,전라남도 강진군 강진읍 탐진로 119,137
2020년,전남,담양,전라남도 담양군 담양읍 무정로 15,139
2020년,전남,곡성,전라남도 곡성군 곡성읍 중앙로 161,122
2020년,전남,완도,전라남도 완도군 완도읍 농공단지길 32,160
2020년,전남,진도,전라남도 진도군 진도읍 남산2길 33,131
2020년,전남,구례,전라남도 구례군 구례읍 봉성로 74,119
2020년,경북,경주,경상북도 경주시 중앙로 63 (동부동),499
2020년,경북,포항북부,경상북도 포항시 북구 중앙로 331 (덕산동),447
2020년,경북,포항남부,경상북도 포항시 남구 연일로 55 (상도동),435
2020년,경북,구미,경상북도 구미시 송원동로 11-4 (송정동),668
2020년,경북,경산,경상북도 경산시 원효로 68 (계양동),417
2020년,경북,안동,경상북도 안동시 제비원로 103 (당북동),367
2020년,경북,김천,경상북도 김천시 김천로 164 (남산동),282
2020년,경북,영주,경상북도 영주시 광복로 47 (영주동),227
2020년,경북,영천,경상북도 영천시 금호읍 최무선로 1,234
2020년,경북,상주,경상북도 상주시 중앙로 230 (성하동),243
2020년,경북,문경,경상북도 문경시 매봉로 35 (모전동),194
2020년,경북,칠곡,경상북도 칠곡군 약목면 칠곡대로 1050,240
2020년,경북,의성,경상북도 의성군 의성읍 동서1길 31,177
2020년,경북,청도,경상북도 청도군 청도읍 새마을로 1362,124
2020년,경북,영덕,경상북도 영덕군 영덕읍 남산1길 14,126
